trial_id,started_at,finished_at,duration,batch_size,head_learning_rate,l2_weight,warmup_proportion,f1
0,2025-12-02T04:30:51,2025-12-02T04:34:49,237,"(8, 8)",0.0001,0.015,0.1,0.07407407407407407
1,2025-12-02T04:34:49,2025-12-02T04:38:36,227,"(16, 8)",0.0001,0.2,0.15,0.0
2,2025-12-02T04:38:36,2025-12-02T04:46:39,482,"(16, 4)",0.0001,0.01,0.15,0.336854875729556
3,2025-12-02T04:46:39,2025-12-02T04:53:20,400,"(16, 4)",0.03,0.015,0.1,0.24854497354497354
4,2025-12-02T04:53:20,2025-12-02T05:00:02,401,"(8, 4)",0.0001,0.2,0.1,0.1692942942942943
5,2025-12-02T05:00:02,2025-12-02T05:04:40,278,"(16, 4)",0.03,0.01,0.1,0.12159709618874774
6,2025-12-02T05:04:40,2025-12-02T05:09:38,298,"(16, 4)",0.03,0.2,0.1,0.1547930283224401
7,2025-12-02T05:09:38,2025-12-02T05:14:49,311,"(16, 8)",0.01,0.2,0.15,0.23199665831244778
8,2025-12-02T05:14:49,2025-12-02T05:19:01,251,"(8, 4)",0.003,0.01,0.1,0.0
9,2025-12-02T05:19:01,2025-12-02T05:24:07,306,"(8, 8)",0.03,0.2,0.15,0.3166666666666667
10,2025-12-02T05:24:07,2025-12-02T05:29:03,295,"(16, 4)",0.003,0.01,0.15,0.17883967883967886
11,2025-12-02T05:29:03,2025-12-02T05:33:24,261,"(8, 8)",0.01,0.01,0.15,0.31915238757344017
12,2025-12-02T05:33:24,2025-12-02T05:37:52,267,"(8, 8)",0.01,0.01,0.15,0.31915238757344017
13,2025-12-02T05:37:52,2025-12-02T05:42:27,275,"(8, 8)",0.01,0.01,0.15,0.31915238757344017
14,2025-12-02T05:42:27,2025-12-02T05:46:59,271,"(8, 8)",0.01,0.01,0.15,0.31915238757344017
