trial_id,started_at,finished_at,duration,batch_size,head_learning_rate,l2_weight,warmup_proportion,f1
0,2025-12-01T20:55:50,2025-12-01T20:59:14,203,"(8, 8)",0.0001,0.015,0.1,0.08333333333333333
1,2025-12-01T20:59:14,2025-12-01T21:02:35,201,"(16, 8)",0.0001,0.2,0.15,0.0
2,2025-12-01T21:02:35,2025-12-01T21:07:05,269,"(16, 4)",0.0001,0.01,0.15,0.0
3,2025-12-01T21:07:05,2025-12-01T21:13:02,356,"(16, 4)",0.03,0.015,0.1,0.27893713040771867
4,2025-12-01T21:13:02,2025-12-01T21:17:01,239,"(8, 4)",0.0001,0.2,0.1,0.0
5,2025-12-01T21:17:01,2025-12-01T21:24:45,464,"(16, 4)",0.03,0.01,0.1,0.2666096866096866
6,2025-12-01T21:24:45,2025-12-01T21:30:14,328,"(16, 4)",0.03,0.2,0.1,0.20706369504323466
7,2025-12-01T21:30:14,2025-12-01T21:34:47,272,"(16, 8)",0.01,0.2,0.15,0.12911162911162913
8,2025-12-01T21:34:47,2025-12-01T21:43:16,509,"(8, 4)",0.003,0.01,0.1,0.563095238095238
9,2025-12-01T21:43:16,2025-12-01T21:49:31,375,"(8, 8)",0.03,0.2,0.15,0.35224358974358977
10,2025-12-01T21:49:31,2025-12-01T21:58:27,535,"(8, 4)",0.003,0.01,0.1,0.563095238095238
11,2025-12-01T21:58:27,2025-12-01T22:07:08,521,"(8, 4)",0.003,0.01,0.1,0.563095238095238
12,2025-12-01T22:07:08,2025-12-01T22:15:57,529,"(8, 4)",0.003,0.01,0.1,0.563095238095238
13,2025-12-01T22:15:57,2025-12-01T22:24:36,518,"(8, 4)",0.003,0.01,0.1,0.563095238095238
14,2025-12-01T22:24:36,2025-12-01T22:33:28,532,"(8, 4)",0.003,0.01,0.1,0.563095238095238
